,date,mmwr_week,location,distributed,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_unk_manuf,dist_per_100k,distributed_per_100k_12plus,distributed_per_100k_18plus,distributed_per_100k_65plus,administered,administered_12plus,administered_18plus,administered_65plus,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,administered_fed_ltc,administered_fed_ltc_residents,administered_fed_ltc_staff,administered_fed_ltc_unk,administered_fed_ltc_dose1,administered_fed_ltc_dose1_1,administered_fed_ltc_dose1_2,administered_fed_ltc_dose1_3,admin_per_100k,admin_per_100k_12plus,admin_per_100k_18plus,admin_per_100k_65plus,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_1,administered_dose1_recip_2,administered_dose1_recip_3,administered_dose1_recip_4,administered_dose1_recip_5,administered_dose1_recip_6,series_complete_yes,series_complete_pop_pct,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,series_complete_janssen,series_complete_moderna,series_complete_pfizer,series_complete_unk_manuf,series_complete_janssen_12plus,series_complete_moderna_12plus,series_complete_pfizer_12plus,series_complete_unk_manuf_1,series_complete_janssen_18plus,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_unk_manuf_2,series_complete_janssen_65plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_unk_manuf_3,series_complete_fedltc,series_complete_fedltc_1,series_complete_fedltc_staff,series_complete_fedltc_unknown
12913,2021-07-01T00:00:00.000,26,IN,6685120,427500,2664940,3592680,0,99300,117179,129450,615718,5600334,5600060,5369521,1767296,196401,2208505,3178562,16866,142434,91257,37048,14129,80663,49958,21357,9348,83187,98160,103975,162773,5571664,3005438,44.6,3005181,52.7,2875429,55.7,894544,82.4,2693550,40,2693460,47.2,2597567,50.3,859537,79.2,192993,1032786,1462261,5510,192977,1032775,1462198,5510,192860,1032597,1366619,5491,23730,428068,404794,2945,61495,41030,15589,4876
12914,2021-07-01T00:00:00.000,26,CA,49191095,2615800,20082400,26492895,0,124496,146201,160663,842585,42771685,42648137,40252216,9777342,1556146,17353579,23855076,6884,842642,391815,369335,81492,475997,216568,205003,54426,108249,126754,131468,167474,42771419,24304553,61.5,24227953,72,22862603,74.7,5447672,93.3,19746626,50,19699910,58.6,18664749,61,4394055,75.3,1542893,7664193,10537503,2037,1542595,7663790,10491492,2033,1535863,7639956,9487001,1929,156138,2251314,1985846,757,360401,171625,161550,27226
12915,2021-07-01T00:00:00.000,26,FM,78800,10200,68600,0,0,76030,89030,97614,448722,50632,50620,50599,4230,4914,45718,0,0,151,0,151,0,89,0,89,0,48852,57192,62680,24087,50965,30164,29.1,30153,34.1,30126,37.3,2483,14.1,25319,24.4,25313,28.6,25306,31.3,2230,12.7,4892,20383,44,0,4887,20382,44,0,4883,20379,44,0,471,1754,5,0,62,0,62,0
12916,2021-07-01T00:00:00.000,26,PR,4171930,190000,1815480,2166450,0,130630,146471,159175,768413,3696501,3695389,3481561,1013372,102502,1601076,1992598,325,74370,11438,10934,51998,53126,7926,7448,37752,115744,129740,132835,186649,3723313,2059610,64.5,2058682,72.3,1933163,73.8,546525,99.9,1759206,55.1,1758982,61.8,1667928,63.6,487405,89.8,102301,731399,925477,29,102263,731360,925330,29,102171,731137,834591,29,17818,248949,220635,3,21205,3497,3481,14227
12917,2021-07-01T00:00:00.000,26,NJ,11568845,606300,4756280,6206265,0,130248,151854,166611,784044,9864834,9864189,9329294,2397893,371536,4000426,5492843,29,264563,128928,109125,26510,154512,73971,62981,17560,111063,129479,134358,162510,10164314,5591191,62.9,5590549,73.4,5288349,76.2,1320319,89.5,4912136,55.3,4912012,64.5,4674910,67.3,1204603,81.6,376590,1887195,2648299,52,376541,1887171,2648248,52,376386,1886829,2411652,43,78011,566172,560397,23,110764,55313,46089,9362
12918,2021-07-01T00:00:00.000,26,AK,830245,59300,356960,413985,0,113492,136357,150526,906500,660235,658444,624971,140397,24930,279661,355475,169,6637,2076,1358,3203,4287,1383,942,1962,90252,108141,113309,153292,655817,358963,49.1,357836,58.8,338661,61.4,74502,81.3,314489,43,313823,51.5,299379,54.3,70045,76.5,23152,129472,161828,37,23150,129470,161166,37,23041,129120,147184,34,2357,39638,28032,18,2310,672,406,1232
12919,2021-07-01T00:00:00.000,26,DE,1279815,65800,523520,690495,0,131430,152394,166168,677488,1041382,1041198,989607,332975,44508,416690,579730,454,36349,11816,8599,15934,23985,6583,5125,12277,106944,123981,128488,176265,1017680,567064,58.2,566908,67.5,539521,70.1,176181,93.3,488301,50.1,488266,58.1,467447,60.7,156677,82.9,43807,185480,258803,211,43799,185476,258780,211,43774,185385,238077,211,8518,64706,83328,125,12184,5072,3414,3698
12920,2021-07-01T00:00:00.000,26,CO,7030535,340300,2886760,3803475,0,122085,142432,156261,834572,6203544,6184175,5839433,1413890,220788,2586735,3392811,3210,130069,54900,42980,32189,77981,31782,25731,20468,107724,125286,129788,167838,6182088,3342035,58,3330536,67.5,3139126,69.8,736511,87.4,2992902,52,2985149,60.5,2831806,62.9,669346,79.5,217436,1206989,1567484,993,217416,1206977,1559763,993,216369,1203506,1410952,979,19954,331522,317554,316,51640,22713,17059,11868
12921,2021-07-01T00:00:00.000,26,GU,215770,19500,74200,122070,0,130164,152421,167116,768220,189680,189666,175277,29027,4469,70157,115054,0,1,0,0,1,1,0,0,1,114425,133981,135754,103347,189881,102154,61.6,102144,72.2,93977,72.8,15093,53.7,90755,54.7,90751,64.1,84554,65.5,14053,50,4425,32766,53564,0,4425,32765,53561,0,4424,32757,47373,0,308,6017,7728,0,0,0,0,0
12922,2021-07-01T00:00:00.000,26,MO,6122775,311400,2510220,3301155,0,99761,116942,128445,576512,5122970,5122649,4928300,1635885,169791,1950809,3001920,450,158564,85576,49861,23127,92955,48284,29078,15593,83471,97840,103387,154033,5027594,2761421,45,2761098,52.7,2652438,55.6,853250,80.3,2403164,39.2,2403121,45.9,2324456,48.8,775697,73,170280,893852,1338941,91,170266,893843,1338921,91,170131,893618,1260623,84,32389,355496,387770,42,65279,36921,20622,7736
