,date,fips,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi
41,2020-12-13T00:00:00.000,20203,51,Wichita County,KS,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
42,2020-12-13T00:00:00.000,55073,51,Marathon County,WI,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
43,2020-12-13T00:00:00.000,18121,51,Parke County,IN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
44,2020-12-13T00:00:00.000,21007,51,Ballard County,KY,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
45,2020-12-13T00:00:00.000,48135,51,Ector County,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
46,2020-12-13T00:00:00.000,18163,51,Vanderburgh County,IN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
47,2020-12-13T00:00:00.000,13105,51,Elbert County,GA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
48,2020-12-13T00:00:00.000,42063,51,Indiana County,PA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
49,2020-12-13T00:00:00.000,24023,51,Garrett County,MD,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
50,2020-12-13T00:00:00.000,12119,51,Sumter County,FL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
51,2020-12-13T00:00:00.000,19195,51,Worth County,IA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
52,2020-12-13T00:00:00.000,48235,51,Irion County,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
53,2020-12-13T00:00:00.000,18039,51,Elkhart County,IN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
54,2020-12-13T00:00:00.000,48461,51,Upton County,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
