state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural,Infrequent,Frequent
AK,DISTRICT 16,2016,JOSEPH R BIDEN JR,DEMOCRAT,4274.0,8118.0,rural,100.0,0.139,0.861
AZ,APACHE,4001,JOSEPH R BIDEN JR,DEMOCRAT,16460.0,35172.0,rural,74.06107553343215,0.149,0.851
AZ,LA PAZ,4012,DONALD J TRUMP,REPUBLICAN,2936.0,7458.0,rural,56.3277856410757,0.257,0.7429999999999999
AZ,NAVAJO,4017,DONALD J TRUMP,REPUBLICAN,18787.0,51767.0,rural,54.13824232891884,0.258,0.741
AR,ASHLEY,5003,DONALD J TRUMP,REPUBLICAN,4018.0,7926.0,rural,51.68169130096554,0.28900000000000003,0.712
AR,BAXTER,5005,DONALD J TRUMP,REPUBLICAN,12136.0,21007.0,rural,65.84202538963699,0.362,0.638
AR,BOONE,5009,DONALD J TRUMP,REPUBLICAN,9235.0,17114.0,rural,62.198195268677345,0.396,0.605
AR,CALHOUN,5013,DONALD J TRUMP,REPUBLICAN,958.0,2182.0,rural,100.0,0.385,0.615
AR,CARROLL,5015,DONALD J TRUMP,REPUBLICAN,4862.0,11797.0,rural,72.83392844130292,0.294,0.706
AR,CHICOT,5017,DONALD J TRUMP,REPUBLICAN,1207.0,4103.0,rural,54.279661016949156,0.371,0.628
AR,CLARK,5019,DONALD J TRUMP,REPUBLICAN,3076.0,8395.0,rural,54.37703848662753,0.251,0.749
AR,CLAY,5021,DONALD J TRUMP,REPUBLICAN,2981.0,5183.0,rural,58.857178387116825,0.363,0.637
AR,CLEBURNE,5023,DONALD J TRUMP,REPUBLICAN,6289.0,12680.0,rural,75.52175587216018,0.194,0.805
AR,CLEVELAND,5025,DONALD J TRUMP,REPUBLICAN,1570.0,3600.0,rural,100.0,0.29700000000000004,0.703
AR,COLUMBIA,5027,DONALD J TRUMP,REPUBLICAN,4419.0,8616.0,rural,57.48615184099055,0.367,0.633
AR,CONWAY,5029,DONALD J TRUMP,REPUBLICAN,3358.0,8685.0,rural,70.5166173083251,0.328,0.6719999999999999
AR,CRAWFORD,5033,DONALD J TRUMP,REPUBLICAN,13335.0,24091.0,rural,51.961322399431786,0.42200000000000004,0.578
AR,CROSS,5037,DONALD J TRUMP,REPUBLICAN,3791.0,6942.0,rural,56.78791270285395,0.277,0.7230000000000001
AR,DALLAS,5039,DONALD J TRUMP,REPUBLICAN,884.0,2649.0,rural,52.63676688023657,0.345,0.655
AR,FRANKLIN,5047,DONALD J TRUMP,REPUBLICAN,4101.0,7129.0,rural,82.60413793103449,0.473,0.527
AR,FULTON,5049,DONALD J TRUMP,REPUBLICAN,2493.0,5119.0,rural,92.91955900367496,0.45199999999999996,0.548
AR,GRANT,5053,DONALD J TRUMP,REPUBLICAN,4674.0,8200.0,rural,75.0294068223828,0.252,0.747
AR,HEMPSTEAD,5057,DONALD J TRUMP,REPUBLICAN,2514.0,6848.0,rural,55.76982617541687,0.267,0.7330000000000001
AR,HOT SPRING,5059,DONALD J TRUMP,REPUBLICAN,7204.0,12557.0,rural,65.96907936700786,0.22399999999999998,0.776
AR,HOWARD,5061,DONALD J TRUMP,REPUBLICAN,2393.0,4834.0,rural,67.51758648197838,0.29600000000000004,0.7050000000000001
AR,INDEPENDENCE,5063,DONALD J TRUMP,REPUBLICAN,7943.0,14512.0,rural,68.58405872240564,0.381,0.619
