Date,Location,Percent with one dose,state,state_po,state_fips,STATEFP,STNAME,Total population,candidatevotes,totalvotes,party_simplified,fractionalvotes,day_num
2021-06-11,CO,0.6759999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,118
2021-06-10,CO,0.674,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,117
2021-06-09,CO,0.6729999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,116
2021-06-08,CO,0.6729999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,115
2021-06-07,CO,0.6709999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,114
2021-06-06,CO,0.669,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,113
2021-06-05,CO,0.667,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,112
2021-06-04,CO,0.667,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,111
2021-06-03,CO,0.665,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,110
2021-06-02,CO,0.6629999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,109
2021-06-01,CO,0.662,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,108
2021-05-31,CO,0.6609999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,107
2021-05-30,CO,0.66,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,106
2021-05-29,CO,0.6579999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,105
2021-05-28,CO,0.6559999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,104
2021-05-27,CO,0.654,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,103
