state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural,Infrequent,Frequent
TX,HEMPHILL,48211,DONALD J TRUMP,REPUBLICAN,1486.0,1720.0,urban,26.95035460992908,0.453,0.5469999999999999
TX,HIDALGO,48215,JOSEPH R BIDEN JR,DEMOCRAT,128199.0,220884.0,urban,5.138666422294014,0.091,0.9099999999999999
TX,HOCKLEY,48219,DONALD J TRUMP,REPUBLICAN,6536.0,8100.0,urban,39.847394811423584,0.16299999999999998,0.837
TX,HOOD,48221,DONALD J TRUMP,REPUBLICAN,26496.0,32541.0,urban,32.84553163221445,0.266,0.734
TX,HOWARD,48227,DONALD J TRUMP,REPUBLICAN,8054.0,10241.0,urban,20.064549297383756,0.187,0.814
TX,HUTCHINSON,48233,DONALD J TRUMP,REPUBLICAN,7681.0,8773.0,urban,22.564334085778782,0.304,0.696
TX,JEFFERSON,48245,DONALD J TRUMP,REPUBLICAN,47570.0,94759.0,urban,8.402008934765115,0.22099999999999997,0.779
TX,JIM HOGG,48247,JOSEPH R BIDEN JR,DEMOCRAT,1197.0,2036.0,urban,17.39622641509434,0.153,0.847
TX,JIM WELLS,48249,DONALD J TRUMP,REPUBLICAN,7453.0,13669.0,urban,40.08521475096723,0.201,0.799
TX,JOHNSON,48251,DONALD J TRUMP,REPUBLICAN,54628.0,72020.0,urban,37.8741701670929,0.159,0.841
TX,KARNES,48255,DONALD J TRUMP,REPUBLICAN,3968.0,5252.0,urban,38.39044792228818,0.105,0.895
TX,KAUFMAN,48257,DONALD J TRUMP,REPUBLICAN,37624.0,56718.0,urban,48.81761006289308,0.162,0.8370000000000001
TX,KERR,48265,DONALD J TRUMP,REPUBLICAN,20879.0,27745.0,urban,41.10226700251889,0.375,0.626
TX,KIMBLE,48267,DONALD J TRUMP,REPUBLICAN,1987.0,2292.0,urban,44.30214890384198,0.327,0.673
TX,KINNEY,48271,DONALD J TRUMP,REPUBLICAN,1144.0,1603.0,urban,20.45580878265703,0.184,0.817
TX,KLEBERG,48273,DONALD J TRUMP,REPUBLICAN,5504.0,10944.0,urban,18.870278531549232,0.153,0.847
TX,LAMAR,48277,DONALD J TRUMP,REPUBLICAN,16760.0,21442.0,urban,47.08292330247224,0.28400000000000003,0.716
TX,LA SALLE,48283,DONALD J TRUMP,REPUBLICAN,1335.0,2406.0,urban,46.35492303223933,0.237,0.764
TX,LLANO,48299,DONALD J TRUMP,REPUBLICAN,10079.0,12660.0,urban,45.17900626910523,0.172,0.829
TX,LUBBOCK,48303,DONALD J TRUMP,REPUBLICAN,78861.0,120817.0,urban,11.335540165906947,0.159,0.842
TX,MCCULLOCH,48307,DONALD J TRUMP,REPUBLICAN,2904.0,3436.0,urban,35.3253652058433,0.174,0.8260000000000001
TX,MCLENNAN,48309,DONALD J TRUMP,REPUBLICAN,59543.0,97872.0,urban,23.351893949068987,0.117,0.882
TX,MATAGORDA,48321,DONALD J TRUMP,REPUBLICAN,9845.0,13727.0,urban,36.41763391640783,0.16799999999999998,0.8310000000000001
TX,MAVERICK,48323,JOSEPH R BIDEN JR,DEMOCRAT,8332.0,15346.0,urban,9.255777949795421,0.225,0.775
TX,MIDLAND,48329,DONALD J TRUMP,REPUBLICAN,45624.0,58859.0,urban,12.291776258109767,0.193,0.8069999999999999
TX,MITCHELL,48335,DONALD J TRUMP,REPUBLICAN,2170.0,2579.0,urban,36.74359247048814,0.386,0.615
TX,MONTGOMERY,48339,DONALD J TRUMP,REPUBLICAN,193382.0,271543.0,urban,22.725597152800027,0.16499999999999998,0.835
TX,MOORE,48341,DONALD J TRUMP,REPUBLICAN,4359.0,5508.0,urban,16.81428049671293,0.28800000000000003,0.7110000000000001
TX,NACOGDOCHES,48347,DONALD J TRUMP,REPUBLICAN,17378.0,26785.0,urban,46.46023185171409,0.251,0.749
TX,NOLAN,48353,DONALD J TRUMP,REPUBLICAN,4131.0,5357.0,urban,32.65641430073607,0.26999999999999996,0.7310000000000001
TX,NUECES,48355,DONALD J TRUMP,REPUBLICAN,64617.0,127322.0,urban,6.447241956011204,0.08600000000000001,0.9139999999999999
TX,OCHILTREE,48357,DONALD J TRUMP,REPUBLICAN,2812.0,3156.0,urban,13.90981121001663,0.359,0.64
TX,ORANGE,48361,DONALD J TRUMP,REPUBLICAN,29186.0,35994.0,urban,35.17113286166404,0.22599999999999998,0.775
TX,PECOS,48371,DONALD J TRUMP,REPUBLICAN,3215.0,4668.0,urban,39.775585219578254,0.251,0.748
TX,POTTER,48375,DONALD J TRUMP,REPUBLICAN,22820.0,33337.0,urban,8.996225417723192,0.243,0.757
TX,PRESIDIO,48377,JOSEPH R BIDEN JR,DEMOCRAT,1463.0,2217.0,urban,40.470708621130726,0.038,0.9630000000000001
TX,RANDALL,48381,DONALD J TRUMP,REPUBLICAN,50796.0,64674.0,urban,14.375647131911368,0.235,0.765
TX,REAGAN,48383,DONALD J TRUMP,REPUBLICAN,942.0,1124.0,urban,13.305613305613306,0.183,0.817
TX,REEVES,48389,DONALD J TRUMP,REPUBLICAN,2254.0,3689.0,urban,14.496118406732933,0.196,0.8039999999999999
TX,ROCKWALL,48397,DONALD J TRUMP,REPUBLICAN,36726.0,53891.0,urban,16.03584513065346,0.17500000000000002,0.825
TX,RUNNELS,48399,DONALD J TRUMP,REPUBLICAN,3807.0,4409.0,urban,40.758023045424245,0.176,0.824
TX,SAN PATRICIO,48409,DONALD J TRUMP,REPUBLICAN,16516.0,25891.0,urban,19.650021603604717,0.088,0.9119999999999999
TX,SAN SABA,48411,DONALD J TRUMP,REPUBLICAN,2308.0,2602.0,urban,49.3557331593541,0.226,0.774
TX,SCURRY,48415,DONALD J TRUMP,REPUBLICAN,4983.0,5870.0,urban,31.700254122096805,0.44699999999999995,0.553
TX,SMITH,48423,DONALD J TRUMP,REPUBLICAN,69080.0,100089.0,urban,31.607808729984644,0.303,0.6970000000000001
TX,STARR,48427,JOSEPH R BIDEN JR,DEMOCRAT,9123.0,17525.0,urban,23.705878493636007,0.07,0.9309999999999999
TX,STEPHENS,48429,DONALD J TRUMP,REPUBLICAN,3385.0,3800.0,urban,39.36656282450675,0.428,0.5720000000000001
TX,SUTTON,48435,DONALD J TRUMP,REPUBLICAN,1222.0,1557.0,urban,18.7984496124031,0.131,0.868
TX,SWISHER,48437,DONALD J TRUMP,REPUBLICAN,1845.0,2355.0,urban,37.573211102622864,0.212,0.787
TX,TARRANT,48439,JOSEPH R BIDEN JR,DEMOCRAT,411567.0,834697.0,urban,1.288201327338237,0.134,0.866
TX,TAYLOR,48441,DONALD J TRUMP,REPUBLICAN,39547.0,55135.0,urban,16.033488966282906,0.23299999999999998,0.766
TX,TERRY,48445,DONALD J TRUMP,REPUBLICAN,2812.0,3612.0,urban,24.66998656232709,0.161,0.839
TX,TOM GREEN,48451,DONALD J TRUMP,REPUBLICAN,32313.0,45210.0,urban,15.640876760052258,0.11599999999999999,0.884
TX,TRAVIS,48453,JOSEPH R BIDEN JR,DEMOCRAT,435860.0,608575.0,urban,5.463522170998549,0.047,0.9530000000000001
TX,UVALDE,48463,DONALD J TRUMP,REPUBLICAN,6174.0,10344.0,urban,31.38420753645143,0.17200000000000001,0.828
TX,VAL VERDE,48465,DONALD J TRUMP,REPUBLICAN,8284.0,15280.0,urban,10.157736451236728,0.14300000000000002,0.856
TX,VICTORIA,48469,DONALD J TRUMP,REPUBLICAN,23358.0,34188.0,urban,26.626571267268094,0.185,0.8150000000000001
TX,WALKER,48471,DONALD J TRUMP,REPUBLICAN,15375.0,23612.0,urban,45.58288265719633,0.166,0.8340000000000001
TX,WARD,48475,DONALD J TRUMP,REPUBLICAN,3241.0,4060.0,urban,27.88515668981047,0.226,0.774
TX,WEBB,48479,JOSEPH R BIDEN JR,DEMOCRAT,41820.0,68397.0,urban,2.5996388391715675,0.097,0.903
TX,WHARTON,48481,DONALD J TRUMP,REPUBLICAN,11926.0,16761.0,urban,49.895833333333336,0.15899999999999997,0.841
TX,WICHITA,48485,DONALD J TRUMP,REPUBLICAN,32069.0,46040.0,urban,10.666920152091256,0.215,0.7839999999999999
TX,WILBARGER,48487,DONALD J TRUMP,REPUBLICAN,3524.0,4524.0,urban,21.89139268562985,0.29800000000000004,0.7030000000000001
TX,WILLACY,48489,JOSEPH R BIDEN JR,DEMOCRAT,3108.0,5549.0,urban,34.57576579018704,0.116,0.8839999999999999
TX,WILLIAMSON,48491,JOSEPH R BIDEN JR,DEMOCRAT,143795.0,289555.0,urban,11.989949820076227,0.114,0.885
TX,WINKLER,48495,DONALD J TRUMP,REPUBLICAN,1753.0,2126.0,urban,18.129395218002813,0.223,0.7769999999999999
TX,YOAKUM,48501,DONALD J TRUMP,REPUBLICAN,2174.0,2631.0,urban,37.32707196344714,0.184,0.8150000000000001
TX,YOUNG,48503,DONALD J TRUMP,REPUBLICAN,7110.0,8239.0,urban,33.56873315363881,0.211,0.789
TX,ZAPATA,48505,DONALD J TRUMP,REPUBLICAN,2033.0,3874.0,urban,23.534027678698816,0.083,0.917
TX,ZAVALA,48507,JOSEPH R BIDEN JR,DEMOCRAT,2864.0,4379.0,urban,38.032028774514,0.22599999999999998,0.773
WV,BERKELEY,54003,DONALD J TRUMP,REPUBLICAN,33279.0,51535.0,urban,31.625531588092425,0.31,0.6900000000000001
WV,BROOKE,54009,DONALD J TRUMP,REPUBLICAN,7545.0,10656.0,urban,42.12887947151938,0.372,0.628
WV,CABELL,54011,DONALD J TRUMP,REPUBLICAN,21721.0,37360.0,urban,21.558570998453057,0.33599999999999997,0.6619999999999999
WV,HANCOCK,54029,DONALD J TRUMP,REPUBLICAN,9806.0,13800.0,urban,30.310340331203545,0.351,0.649
WV,HARRISON,54033,DONALD J TRUMP,REPUBLICAN,20683.0,30465.0,urban,37.049740227789115,0.22399999999999998,0.776
WV,JEFFERSON,54037,DONALD J TRUMP,REPUBLICAN,15033.0,27703.0,urban,48.37377098209279,0.279,0.7210000000000001
WV,KANAWHA,54039,DONALD J TRUMP,REPUBLICAN,46398.0,82244.0,urban,25.18815101806146,0.248,0.752
WV,MARION,54049,DONALD J TRUMP,REPUBLICAN,16300.0,25794.0,urban,41.483214576908075,0.24,0.76
WV,MARSHALL,54051,DONALD J TRUMP,REPUBLICAN,10435.0,14080.0,urban,48.9926601625034,0.247,0.753
WV,MERCER,54055,DONALD J TRUMP,REPUBLICAN,19237.0,25134.0,urban,40.73140177309521,0.40199999999999997,0.598
WV,MONONGALIA,54061,DONALD J TRUMP,REPUBLICAN,20803.0,42072.0,urban,26.862738982627953,0.262,0.738
WV,OHIO,54069,DONALD J TRUMP,REPUBLICAN,12354.0,19898.0,urban,23.092500506266454,0.268,0.733
WV,PUTNAM,54079,DONALD J TRUMP,REPUBLICAN,20034.0,28501.0,urban,35.7838013192517,0.223,0.7769999999999999
WV,RALEIGH,54081,DONALD J TRUMP,REPUBLICAN,24673.0,33106.0,urban,39.25867687898655,0.427,0.574
WV,WOOD,54107,DONALD J TRUMP,REPUBLICAN,27202.0,38762.0,urban,26.77446064676388,0.34199999999999997,0.658
MD,ALLEGANY,24001,DONALD J TRUMP,REPUBLICAN,9513.0,30641.0,urban,27.252387230812257,0.052000000000000005,0.949
MD,ANNE ARUNDEL,24003,JOSEPH R BIDEN JR,DEMOCRAT,68916.0,309617.0,urban,5.304134985938965,0.107,0.893
MD,BALTIMORE,24005,JOSEPH R BIDEN JR,DEMOCRAT,81534.0,414932.0,urban,6.534118436253866,0.07999999999999999,0.919
MD,CALVERT,24009,DONALD J TRUMP,REPUBLICAN,9980.0,49113.0,urban,38.70989553399371,0.16899999999999998,0.83
MD,CARROLL,24013,DONALD J TRUMP,REPUBLICAN,25406.0,100327.0,urban,39.50602510560389,0.08399999999999999,0.916
MD,CECIL,24015,DONALD J TRUMP,REPUBLICAN,12852.0,47462.0,urban,42.102504252878106,0.08099999999999999,0.9199999999999999
MD,CHARLES,24017,JOSEPH R BIDEN JR,DEMOCRAT,23831.0,89498.0,urban,29.503722253686433,0.176,0.8240000000000001
MD,FREDERICK,24021,JOSEPH R BIDEN JR,DEMOCRAT,33787.0,145615.0,urban,25.207704008398142,0.126,0.875
MD,HARFORD,24025,DONALD J TRUMP,REPUBLICAN,45623.0,148186.0,urban,17.757100961499187,0.054,0.9460000000000001
MD,HOWARD,24027,JOSEPH R BIDEN JR,DEMOCRAT,54712.0,183062.0,urban,9.251615375237298,0.10600000000000001,0.893
MD,MONTGOMERY,24031,JOSEPH R BIDEN JR,DEMOCRAT,160521.0,533743.0,urban,2.3837773480952933,0.095,0.905
MD,PRINCE GEORGE'S,24033,JOSEPH R BIDEN JR,DEMOCRAT,168777.0,424855.0,urban,1.9667137661856338,0.185,0.814
MD,SOMERSET,24039,DONALD J TRUMP,REPUBLICAN,3145.0,10147.0,urban,45.79146203248961,0.061,0.9400000000000001
MD,WASHINGTON,24043,DONALD J TRUMP,REPUBLICAN,20760.0,67779.0,urban,29.489927423183882,0.163,0.8360000000000001
MD,WICOMICO,24045,DONALD J TRUMP,REPUBLICAN,11294.0,46216.0,urban,25.80596153261827,0.08,0.92
MD,WORCESTER,24047,DONALD J TRUMP,REPUBLICAN,9333.0,31691.0,urban,35.52687837680258,0.049,0.952
MD,BALTIMORE CITY,24510,JOSEPH R BIDEN JR,DEMOCRAT,92866.0,237461.0,urban,0.0,0.119,0.881
MA,BARNSTABLE,25001,JOSEPH R BIDEN JR,DEMOCRAT,91994.0,151512.0,urban,7.483046764989254,0.052,0.948
MA,BERKSHIRE,25003,JOSEPH R BIDEN JR,DEMOCRAT,51705.0,71771.0,urban,31.593747856636618,0.083,0.9159999999999999
MA,BRISTOL,25005,JOSEPH R BIDEN JR,DEMOCRAT,153377.0,281364.0,urban,9.834301503779969,0.092,0.908
MA,DUKES,25007,JOSEPH R BIDEN JR,DEMOCRAT,9914.0,12873.0,urban,39.02630783187179,0.053,0.9460000000000001
MA,ESSEX,25009,JOSEPH R BIDEN JR,DEMOCRAT,267198.0,424599.0,urban,4.24404467953695,0.08,0.919
MA,HAMPDEN,25013,JOSEPH R BIDEN JR,DEMOCRAT,125948.0,220793.0,urban,8.570842952383007,0.08499999999999999,0.916
MA,HAMPSHIRE,25015,JOSEPH R BIDEN JR,DEMOCRAT,63362.0,88332.0,urban,27.44369939271255,0.034,0.966
MA,MIDDLESEX,25017,JOSEPH R BIDEN JR,DEMOCRAT,617196.0,869347.0,urban,3.027706350605588,0.07500000000000001,0.925
MA,NANTUCKET,25019,JOSEPH R BIDEN JR,DEMOCRAT,5241.0,7338.0,urban,18.895005898545026,0.052000000000000005,0.9480000000000001
MA,NORFOLK,25021,JOSEPH R BIDEN JR,DEMOCRAT,273312.0,411042.0,urban,1.2404887415322965,0.07,0.93
MA,PLYMOUTH,25023,JOSEPH R BIDEN JR,DEMOCRAT,173630.0,303870.0,urban,10.3077473283507,0.076,0.924
MA,SUFFOLK,25025,JOSEPH R BIDEN JR,DEMOCRAT,270522.0,337240.0,urban,0.07409058994112913,0.076,0.924
MA,WORCESTER,25027,JOSEPH R BIDEN JR,DEMOCRAT,248773.0,434921.0,urban,18.390286418417332,0.09,0.91
MT,CASCADE,30013,DONALD J TRUMP,REPUBLICAN,23315.0,39885.0,urban,19.8212155864596,0.473,0.527
MT,CUSTER,30017,DONALD J TRUMP,REPUBLICAN,4205.0,5860.0,urban,17.907513462689117,0.49,0.51
MT,DAWSON,30021,DONALD J TRUMP,REPUBLICAN,3758.0,4825.0,urban,27.570823109524873,0.5640000000000001,0.43500000000000005
MT,DEER LODGE,30023,JOSEPH R BIDEN JR,DEMOCRAT,2562.0,4891.0,urban,33.64164336416434,0.37799999999999995,0.622
MT,FERGUS,30027,DONALD J TRUMP,REPUBLICAN,4869.0,6507.0,urban,47.436561367167265,0.5519999999999999,0.448
MT,GALLATIN,30031,JOSEPH R BIDEN JR,DEMOCRAT,37044.0,70979.0,urban,33.54261392200016,0.34,0.661
MT,GLACIER,30035,JOSEPH R BIDEN JR,DEMOCRAT,3610.0,5617.0,urban,44.01074707067691,0.40800000000000003,0.5920000000000001
