date,changecolor,cases_avg_per_100k,segmentname
2020-03-21,#970D03,0.6879658385093169,Stayed Republican
2020-03-21,#AB5A68,0.59,To Republican
2020-03-22,#030D97,1.3464150943396231,Stayed Democrat
2020-03-22,#11A3D6,0.7317999999999998,To Democrat
2020-03-22,#556B2F,1.0833333333333333,To other
2020-03-22,#970D03,0.7828649386084583,Stayed Republican
2020-03-22,#AB5A68,0.64,To Republican
2020-03-23,#030D97,1.6583536585365852,Stayed Democrat
2020-03-23,#11A3D6,0.8336,To Democrat
2020-03-23,#556B2F,0.9644444444444447,To other
2020-03-23,#970D03,0.8891925465838505,Stayed Republican
2020-03-23,#AB5A68,0.9366666666666666,To Republican
2020-03-24,#030D97,2.0194345238095237,Stayed Democrat
2020-03-24,#11A3D6,0.8862745098039218,To Democrat
2020-03-24,#556B2F,1.6481818181818184,To other
2020-03-24,#970D03,1.0519130434782613,Stayed Republican
2020-03-24,#AB5A68,1.0883333333333334,To Republican
2020-03-25,#030D97,2.399075630252101,Stayed Democrat
2020-03-25,#11A3D6,0.9205263157894736,To Democrat
2020-03-25,#556B2F,2.079166666666667,To other
2020-03-25,#970D03,1.1517399438727791,Stayed Republican
2020-03-25,#AB5A68,1.2516666666666667,To Republican
2020-03-26,#030D97,2.9375338753387528,Stayed Democrat
2020-03-26,#11A3D6,1.1424137931034484,To Democrat
2020-03-26,#556B2F,2.3516666666666666,To other
2020-03-26,#970D03,1.3298307952622674,Stayed Republican
2020-03-26,#AB5A68,1.4028571428571428,To Republican
2020-03-27,#030D97,3.44608465608466,Stayed Democrat
2020-03-27,#11A3D6,1.3225862068965513,To Democrat
2020-03-27,#556B2F,2.6758333333333333,To other
2020-03-27,#970D03,1.5011068111455106,Stayed Republican
2020-03-27,#AB5A68,1.5375,To Republican
2020-03-28,#030D97,4.01861618798956,Stayed Democrat
2020-03-28,#11A3D6,1.5031034482758623,To Democrat
2020-03-28,#556B2F,2.841666666666667,To other
2020-03-28,#970D03,1.6491516894320621,Stayed Republican
2020-03-28,#AB5A68,1.6725,To Republican
2020-03-29,#030D97,4.346055979643768,Stayed Democrat
2020-03-29,#11A3D6,1.7564406779661021,To Democrat
2020-03-29,#556B2F,3.228333333333333,To other
2020-03-29,#970D03,1.7872987721691667,Stayed Republican
2020-03-29,#AB5A68,2.086666666666667,To Republican
2020-03-30,#030D97,4.89776119402985,Stayed Democrat
